2026-03-25 18:09:46 [INFO] Users file does not exist, starting with empty list
2026-03-25 18:09:46 [INFO] Created data directory: data/
2026-03-25 21:12:31 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:12:33 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:16:35 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:16:44 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:20:18 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:20:34 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:20:37 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:20:39 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:20:42 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:20:45 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:20:54 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:26:14 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:26:26 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:26:40 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:37:45 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:03 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:09 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:15 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:19 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:22 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:26 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:28 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:29 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:38:51 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:39:02 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:39:21 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:39:23 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:49:41 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:54:39 [LOGOUT] User logged out: admin@bupt.edu (Admin)
2026-03-25 21:54:39 [INFO] Users loaded successfully. Total: 4
2026-03-25 21:56:09 [ERROR] Login Failed - Invalid credentials for email: 953934382@qq.com
2026-03-25 22:17:00 [INFO] Users loaded successfully. Total: 4
2026-03-25 22:17:42 [INFO] Users saved successfully. Total: 5
2026-03-25 22:17:42 [REGISTER] New user registered: 5555@bupt.cn (TA)
2026-03-25 22:17:42 [CREATE] User created: 5555@bupt.cn (TA)
2026-03-25 22:17:44 [INFO] Users loaded successfully. Total: 5
